game_id,unique_codes,transitions,codes_list
2025020208,6,15,"0651,1331,1451,1541,1551,1560"
2025020229,6,15,"1441,1451,1460,1541,1551,1560"
2025020252,6,15,"1331,1451,1460,1541,1551,1560"
2025020255,6,15,"1351,1441,1451,1541,1551,1560"
2025020335,6,15,"1331,1441,1451,1531,1541,1551"
2025020339,6,15,"0651,1451,1460,1541,1551,1560"
2025020358,6,15,"0641,0651,1451,1541,1551,1560"
2025020373,6,15,"0651,1331,1451,1541,1551,1560"
2025020480,6,15,"0101,0651,1331,1451,1541,1551"
2025020505,6,15,"1441,1450,1451,1541,1551,1560"
2025020529,6,15,"0641,0651,1441,1451,1541,1551"
2025020609,6,15,"0641,0651,1451,1541,1551,1560"
