period,secondsIntoPeriod,secondsElapsedGame,situationCode,strength,awayGoalie,awaySkaterCount,awaySkaters,homeSkaterCount,homeGoalie,homeSkaters
1,161,161,1551,5v5,8479193,5,8476278|8476889|8476902|8480878|8484829,5,8480843,8481563|8481754|8482178|8483490|8485512
1,162,162,1551,5v5,8479193,5,8476278|8476889|8476902|8480878|8484829,5,8480843,8481563|8481754|8482178|8483490|8485512
1,163,163,1551,5v5,8479193,5,8476278|8476889|8476902|8480878|8484829,5,8480843,8481563|8481754|8482178|8483490|8485512
1,164,164,1551,5v5,8479193,5,8476278|8476889|8476902|8480878|8484829,5,8480843,8481563|8481754|8482178|8483490|8485512
1,165,165,1551,5v5,8479193,5,8476278|8476889|8476902|8480878|8484829,5,8480843,8481563|8481754|8482178|8483490|8485512
1,166,166,1551,5v5,8479193,5,8476278|8476889|8476902|8480878|8484829,5,8480843,8481563|8481754|8482178|8483490|8485512
1,167,167,1551,5v5,8479193,5,8476278|8476889|8476902|8480878|8484829,5,8480843,8481563|8481754|8482178|8483490|8485512
1,168,168,1551,5v5,8479193,5,8476278|8476889|8476902|8480878|8484829,5,8480843,8481563|8481754|8482178|8483490|8485512
1,169,169,1551,5v5,8479193,5,8476278|8476889|8476902|8480878|8484829,5,8480843,8481563|8481754|8482178|8483490|8485512
1,170,170,1551,5v5,8479193,5,8476278|8476889|8476902|8480878|8484829,5,8480843,8481563|8481754|8482178|8483490|8485512
1,171,171,1551,5v5,8479193,5,8476278|8476889|8476902|8480878|8484829,5,8480843,8481563|8481754|8482178|8483490|8485512
1,172,172,1551,5v5,8479193,5,8476278|8476889|8476902|8480878|8484829,5,8480843,8481563|8481754|8482178|8483490|8485512
1,173,173,1551,5v5,8479193,5,8476278|8476889|8476902|8480878|8484829,5,8480843,8481563|8481754|8482178|8483490|8485512
1,174,174,1551,5v5,8479193,5,8476278|8476889|8476902|8480878|8484829,5,8480843,8481563|8481754|8482178|8483490|8485512
1,175,175,1551,5v5,8479193,5,8476278|8476889|8476902|8480878|8484829,5,8480843,8481563|8481754|8482178|8483490|8485512
1,176,176,1551,5v5,8479193,5,8476278|8476889|8476902|8480878|8484829,5,8480843,8481563|8481754|8482178|8483490|8485512
1,177,177,1551,5v5,8479193,5,8476278|8476889|8476902|8480878|8484829,5,8480843,8481563|8481754|8482178|8483490|8485512
1,178,178,1551,5v5,8479193,5,8476278|8476889|8476902|8480878|8484829,5,8480843,8481563|8481754|8482178|8483490|8485512
1,179,179,1551,5v5,8479193,5,8476278|8476889|8476902|8479351|8480878,5,8480843,8481563|8481754|8482178|8483490|8485512
1,180,180,1551,5v5,8479193,5,8476278|8476889|8476902|8479351|8480878,5,8480843,8481563|8481754|8482178|8483490|8485512
1,181,181,1551,5v5,8479193,5,8476278|8476889|8476902|8479351|8480878,5,8480843,8481563|8481754|8482178|8483490|8485512
1,182,182,1551,5v5,8479193,5,8476278|8476889|8476902|8479351|8480878,5,8480843,8481563|8481754|8482178|8483490|8485512
1,183,183,1551,5v5,8479193,5,8476278|8476889|8476902|8479351|8480878,5,8480843,8481563|8481754|8482178|8483490|8485512
1,184,184,1551,5v5,8479193,5,8476278|8476889|8476902|8479351|8480878,5,8480843,8481563|8481754|8482178|8483490|8485512
1,185,185,1551,5v5,8479193,5,8476278|8476889|8476902|8479351|8480878,5,8480843,8476885|8481754|8482178|8483490|8485512
1,186,186,1551,5v5,8479193,5,8476278|8476889|8476902|8479351|8480878,5,8480843,8476885|8481754|8482178|8483490|8485512
1,187,187,1551,5v5,8479193,5,8476278|8476902|8479351|8480878|8482740,5,8480843,8476885|8481754|8482178|8483490|8485512
1,188,188,1551,5v5,8479193,5,8475755|8478420|8479351|8481581|8482740,5,8480843,8481563|8481754|8482178|8483490|8485512
1,189,189,1551,5v5,8479193,5,8475755|8478420|8479351|8481581|8482740,5,8480843,8481563|8481754|8482178|8483490|8485512
1,190,190,1551,5v5,8479193,5,8475755|8478420|8479351|8481581|8482740,5,8480843,8481563|8481754|8482178|8483490|8485512
1,191,191,1551,5v5,8479193,5,8475755|8478420|8479351|8481581|8482740,5,8480843,8481563|8481754|8482178|8483490|8485512
1,192,192,1551,5v5,8479193,5,8475755|8478420|8479351|8481581|8482740,5,8480843,8481563|8481754|8482178|8483490|8485512
1,193,193,1551,5v5,8479193,5,8475755|8478420|8479351|8481581|8482740,5,8480843,8481563|8481754|8482178|8483490|8485512
1,194,194,1551,5v5,8479193,5,8475755|8478420|8479351|8481581|8482740,5,8480843,8481563|8481754|8482178|8483490|8485512
1,195,195,1551,5v5,8479193,5,8475755|8478420|8479351|8481581|8482740,5,8480843,8481563|8481754|8482178|8483490|8485512
1,196,196,1551,5v5,8479193,5,8475755|8478420|8479351|8481581|8482740,5,8480843,8481563|8481754|8482178|8483490|8485512
1,197,197,1551,5v5,8479193,5,8475755|8478420|8479351|8481581|8482740,5,8480843,8481563|8481754|8482178|8483490|8485512
1,198,198,1551,5v5,8479193,5,8475755|8478420|8479351|8481581|8482740,5,8480843,8481563|8481754|8482178|8483490|8485512
1,199,199,1551,5v5,8479193,5,8475755|8478420|8479351|8481581|8482740,5,8480843,8481563|8481754|8482178|8483490|8485512
1,200,200,1551,5v5,8479193,5,8475755|8478420|8479351|8481581|8482740,5,8480843,8481563|8481754|8482178|8483490|8485512
